Atm_Pressure(mb),Cloud_Density(%),Date,Humidity(%),Max_Temp(°c),Min_Temp(°c),Rain(mm),Wind_Direction,Wind_Speed(Km/h)
1011.0,11.0,2018-01-01,56.0,28.0,17.0,0.0,SSE,5.0
1011.0,10.0,2018-01-02,54.0,28.0,17.0,0.0,S,7.0
1012.0,18.0,2018-01-03,58.0,27.0,19.0,0.2,ESE,8.0
1013.0,14.0,2018-01-04,58.0,27.0,17.0,0.0,ENE,12.0
1013.0,10.0,2018-01-05,53.0,27.0,17.0,0.0,E,11.0
1012.0,8.0,2018-01-06,51.0,26.0,15.0,0.0,ENE,9.0
1013.0,8.0,2018-01-07,49.0,27.0,16.0,0.0,ENE,10.0
1014.0,5.0,2018-01-08,51.0,26.0,16.0,0.0,E,13.0
1015.0,15.0,2018-01-09,63.0,27.0,16.0,0.0,E,14.0
1016.0,42.0,2018-01-10,71.0,26.0,18.0,0.1,E,15.0
1015.0,34.0,2018-01-11,71.0,27.0,18.0,0.0,E,12.0
1014.0,16.0,2018-01-12,62.0,29.0,18.0,0.0,E,12.0
1014.0,2.0,2018-01-13,50.0,30.0,19.0,0.0,ESE,13.0
1015.0,1.0,2018-01-14,47.0,29.0,17.0,0.0,E,13.0
1014.0,5.0,2018-01-15,47.0,30.0,17.0,0.0,E,12.0
1013.0,15.0,2018-01-16,53.0,29.0,18.0,0.0,ENE,11.0
1013.0,8.0,2018-01-17,51.0,29.0,18.0,0.0,ENE,12.0
1014.0,2.0,2018-01-18,45.0,28.0,16.0,0.0,ENE,12.0
1015.0,0.0,2018-01-19,42.0,28.0,15.0,0.0,ENE,13.0
1014.0,0.0,2018-01-20,46.0,27.0,15.0,0.0,ENE,8.0
1013.0,0.0,2018-01-21,46.0,28.0,15.0,0.0,ENE,11.0
1012.0,1.0,2018-01-22,52.0,28.0,15.0,0.0,ESE,11.0
1011.0,17.0,2018-01-23,57.0,28.0,16.0,0.0,S,8.0
1011.0,17.0,2018-01-24,51.0,29.0,17.0,0.0,NE,9.0
1010.0,6.0,2018-01-25,47.0,29.0,18.0,0.0,ENE,9.0
1011.0,4.0,2018-01-26,45.0,29.0,17.0,0.0,E,9.0
